id,property_incident_id,subject_id,relationship,data,created_at,updated_at
143,5524,171,owned,{},2026-07-13 14:12:51 -0400,2026-07-13 14:12:51 -0400
144,4994,172,listed_in,"{""source_relationship"":""listed_as_agent_for_sale""}",2026-07-13 14:13:03 -0400,2026-07-22 18:35:02 -0400
145,5451,68,mentioned_in,{},2026-07-13 14:13:03 -0400,2026-07-13 14:13:03 -0400
146,5452,173,operated_at,"{""source_relationship"":""operated_produce_business_at""}",2026-07-13 14:13:04 -0400,2026-07-22 18:37:22 -0400
147,5527,174,owned,{},2026-07-13 14:13:04 -0400,2026-07-13 14:13:04 -0400
148,5527,175,owned,{},2026-07-13 14:13:04 -0400,2026-07-13 14:13:04 -0400
149,5527,176,owned,{},2026-07-13 14:13:04 -0400,2026-07-13 14:13:04 -0400
150,5527,152,purchased,"{""source_relationship"":""acquired_via_tax_foreclosure""}",2026-07-13 14:13:04 -0400,2026-07-22 18:40:04 -0400
151,5050,174,sold,"{""source_relationship"":""conveyed_property""}",2026-07-13 14:13:04 -0400,2026-07-22 18:36:46 -0400
152,5050,175,purchased,"{""source_relationship"":""acquired_property""}",2026-07-13 14:13:04 -0400,2026-07-22 18:33:45 -0400
153,5050,177,partner_in_acquiring_entity,{},2026-07-13 14:13:04 -0400,2026-07-13 14:13:04 -0400
154,5050,178,partner_in_acquiring_entity,{},2026-07-13 14:13:04 -0400,2026-07-13 14:13:04 -0400
155,5051,175,sold,"{""source_relationship"":""conveyed_property""}",2026-07-13 14:13:04 -0400,2026-07-22 18:36:47 -0400
156,5051,178,sold,"{""source_relationship"":""conveyed_property""}",2026-07-13 14:13:04 -0400,2026-07-22 18:36:47 -0400
157,5051,176,purchased,"{""source_relationship"":""acquired_property""}",2026-07-13 14:13:04 -0400,2026-07-22 18:33:45 -0400
158,6722,176,purchased,{},2026-07-13 14:13:04 -0400,2026-07-13 14:13:04 -0400
159,5052,152,purchased,"{""source_relationship"":""acquired_via_tax_foreclosure""}",2026-07-13 14:13:04 -0400,2026-07-22 18:40:04 -0400
160,5052,1,purchased,"{""source_relationship"":""acquired_from_state""}",2026-07-13 14:13:04 -0400,2026-07-22 18:37:35 -0400
